2026-03-20 15:50:35 install libbz2-1.0:armhf <none> 1.0.8-5+b1
2026-03-20 15:50:35 status half-installed libbz2-1.0:armhf 1.0.8-5+b1
2026-03-20 15:50:35 status unpacked libbz2-1.0:armhf 1.0.8-5+b1
2026-03-20 15:50:35 install libc-bin:armhf <none> 2.36-9+deb12u13
2026-03-20 15:50:35 status half-installed libc-bin:armhf 2.36-9+deb12u13
2026-03-20 15:50:35 status unpacked libc-bin:armhf 2.36-9+deb12u13
2026-03-20 15:50:36 upgrade libc6:armhf 2.36-9+deb12u13 2.36-9+deb12u13
2026-03-20 15:50:36 status half-configured libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:36 status unpacked libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:36 status half-installed libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:39 status unpacked libc6:armhf 2.36-9+deb12u13
2026-03-20 15:50:39 install libcap-ng0:armhf <none> 0.8.3-1+b3
2026-03-20 15:50:39 status half-installed libcap-ng0:armhf 0.8.3-1+b3
2026-03-20 15:50:39 status unpacked libcap-ng0:armhf 0.8.3-1+b3
2026-03-20 15:50:39 install libcap2:armhf <none> 1:2.66-4+deb12u2+b2
2026-03-20 15:50:39 status half-installed libcap2:armhf 1:2.66-4+deb12u2+b2
2026-03-20 15:50:39 status unpacked libcap2:armhf 1:2.66-4+deb12u2+b2
2026-03-20 15:50:40 install libcom-err2:armhf <none> 1.47.0-2+b2
2026-03-20 15:50:40 status half-installed libcom-err2:armhf 1.47.0-2+b2
2026-03-20 15:50:40 status unpacked libcom-err2:armhf 1.47.0-2+b2
2026-03-20 15:50:40 install libcrypt1:armhf <none> 1:4.4.33-2
2026-03-20 15:50:40 status half-installed libcrypt1:armhf 1:4.4.33-2
2026-03-20 15:50:40 status unpacked libcrypt1:armhf 1:4.4.33-2
2026-03-20 15:50:41 install libdb5.3:armhf <none> 5.3.28+dfsg2-1
2026-03-20 15:50:41 status half-installed libdb5.3:armhf 5.3.28+dfsg2-1
2026-03-20 15:50:41 status unpacked libdb5.3:armhf 5.3.28+dfsg2-1
2026-03-20 15:50:41 install libdebconfclient0:armhf <none> 0.270
2026-03-20 15:50:41 status half-installed libdebconfclient0:armhf 0.270
2026-03-20 15:50:41 status unpacked libdebconfclient0:armhf 0.270
2026-03-20 15:50:42 install libext2fs2:armhf <none> 1.47.0-2+b2
2026-03-20 15:50:42 status half-installed libext2fs2:armhf 1.47.0-2+b2
2026-03-20 15:50:42 status unpacked libext2fs2:armhf 1.47.0-2+b2
2026-03-20 15:50:42 install libffi8:armhf <none> 3.4.4-1
2026-03-20 15:50:42 status half-installed libffi8:armhf 3.4.4-1
2026-03-20 15:50:42 status unpacked libffi8:armhf 3.4.4-1
2026-03-20 15:50:42 install libgcc-s1:armhf <none> 12.2.0-14+deb12u1
2026-03-20 15:50:42 status half-installed libgcc-s1:armhf 12.2.0-14+deb12u1
2026-03-20 15:50:43 status unpacked libgcc-s1:armhf 12.2.0-14+deb12u1
2026-03-20 15:50:43 install libgcrypt20:armhf <none> 1.10.1-3
2026-03-20 15:50:43 status half-installed libgcrypt20:armhf 1.10.1-3
2026-03-20 15:50:43 status unpacked libgcrypt20:armhf 1.10.1-3
2026-03-20 15:50:43 install libgmp10:armhf <none> 2:6.2.1+dfsg1-1.1
2026-03-20 15:50:43 status half-installed libgmp10:armhf 2:6.2.1+dfsg1-1.1
2026-03-20 15:50:44 status unpacked libgmp10:armhf 2:6.2.1+dfsg1-1.1
2026-03-20 15:50:44 install libgnutls30:armhf <none> 3.7.9-2+deb12u5
2026-03-20 15:50:44 status half-installed libgnutls30:armhf 3.7.9-2+deb12u5
2026-03-20 15:50:44 status unpacked libgnutls30:armhf 3.7.9-2+deb12u5
2026-03-20 15:50:45 install libgpg-error0:armhf <none> 1.46-1
2026-03-20 15:50:45 status half-installed libgpg-error0:armhf 1.46-1
2026-03-20 15:50:45 status unpacked libgpg-error0:armhf 1.46-1
2026-03-20 15:50:45 install libhogweed6:armhf <none> 3.8.1-2
2026-03-20 15:50:45 status half-installed libhogweed6:armhf 3.8.1-2
2026-03-20 15:50:45 status unpacked libhogweed6:armhf 3.8.1-2
2026-03-20 15:50:45 install libidn2-0:armhf <none> 2.3.3-1+b1
2026-03-20 15:50:45 status half-installed libidn2-0:armhf 2.3.3-1+b1
2026-03-20 15:50:46 status unpacked libidn2-0:armhf 2.3.3-1+b1
2026-03-20 15:50:46 install liblz4-1:armhf <none> 1.9.4-1
2026-03-20 15:50:46 status half-installed liblz4-1:armhf 1.9.4-1
2026-03-20 15:50:46 status unpacked liblz4-1:armhf 1.9.4-1
2026-03-20 15:50:46 install liblzma5:armhf <none> 5.4.1-1
2026-03-20 15:50:46 status half-installed liblzma5:armhf 5.4.1-1
2026-03-20 15:50:46 status unpacked liblzma5:armhf 5.4.1-1
